notebook_name,source_table,source_type,destination_table,destination_type
./dw_card/dw_customer_identification_dim.ipynb,dw_application_dim (vc_data_dwh.db),PARQUET,,
./dw_card/tmp_debt_payment.ipynb,bo_crd_debt (vc_cms.db),PARQUET,tmp_debt_payment (vc_data_dwh.db),PARQUET
./dw_card/tmp_debt_payment.ipynb,bo_crd_debt_payment (vc_cms.db),PARQUET,,
./dw_card/tmp_debt_payment.ipynb,bo_crd_payment (vc_cms.db),PARQUET,,
./dw_card/tmp_debt_payment.ipynb,tmp_debt_payment (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_transaction_fct_before_merge.ipynb,bo_opr_operation (vc_cms.db),PARQUET,,
./dw_card/dw_card_transaction_fct_before_merge.ipynb,bo_crd_debt (vc_cms.db),PARQUET,,
./dw_card/dw_card_transaction_fct_before_merge.ipynb,bo_com_dictionary (vc_cms.db),PARQUET,,
./dw_card/dw_card_transaction_fct_before_merge.ipynb,bo_com_i18n (vc_cms.db),PARQUET,,
./dw_card/dw_card_transaction_fct_before_merge.ipynb,fe_curr_trans (vc_cms.db),PARQUET,,
./dw_card/dw_card_transaction_fct_before_merge.ipynb,dw_account_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_ka_loan_fct.ipynb,dw_card_loan_fct (vc_data_dwh.db),PARQUET,dw_write_off_cms_account_dim (vc_data_dwh.db),PARQUET
./dw_card/dw_ka_loan_fct.ipynb,dw_write_off_cms_account_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_ka_loan_fct.ipynb,dw_tcc_cms_account_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_ka_loan_fct.ipynb,dw_tcc_principaldebtconversion_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_ka_loan_fct.ipynb,dw_card_loan_fct (vc_data_dwh.db),PARQUET,,
./dw_card/dw_ka_loan_fct.ipynb,df_dw_loan_provision_fct (vc_data_dwh.db),PARQUET,,
./dw_card/dwa_first_transaction_date_of_card_fct_daily.ipynb,fe_curr_trans (vc_cms.db),PARQUET,dwa_first_transaction_date_of_card_fct (vc_data_dwh.db),PARQUET
./dw_card/dwa_first_transaction_date_of_card_fct_daily.ipynb,dwa_first_transaction_date_of_card_fct (vc_data_dwh.db),PARQUET,,
./dw_card/dwa_first_transaction_date_of_card_fct_init.ipynb,fe_curr_trans (vc_cms.db),PARQUET,dwa_first_transaction_date_of_card_fct (vc_data_dwh.db),PARQUET
./dw_card/dwa_first_transaction_date_of_card_fct_init.ipynb,tmp_dwa_first_transaction_date_of_card_fct (vc_data_dwh.db),PARQUET,,
./dw_card/tmp_debt_payment_1.ipynb,bo_crd_debt (vc_cms.db),PARQUET,tmp_debt_payment (vc_data_dwh.db),PARQUET
./dw_card/tmp_debt_payment_1.ipynb,bo_crd_debt_payment (vc_cms.db),PARQUET,,
./dw_card/tmp_debt_payment_1.ipynb,bo_crd_payment (vc_cms.db),PARQUET,,
./dw_card/tmp_gl_prepare_invoice_age_4next_gl_date.ipynb,bo_crd_invoice (vc_cms.db),PARQUET,tmp_gl_invoice_overdue_date_start_day (vc_data_dwh.db),PARQUET
./dw_card/tmp_gl_prepare_invoice_age_4next_gl_date.ipynb,pro_current_card_invoice_info_tmp (vc_data_dwh.db),PARQUET,pro_current_card_invoice_info (vc_data_dwh.db),PARQUET
./dw_card/tmp_gl_prepare_invoice_age_4next_gl_date.ipynb,,,tmp_gl_invoice_aging_period_after_eod (vc_data_dwh.db),PARQUET
./dw_card/tmp_gl_invoice_overdue_date.ipynb,bo_crd_invoice (vc_cms.db),PARQUET,tmp_gl_invoice_overdue_date (vc_data_dwh.db),PARQUET
./dw_card/tmp_gl_invoice_overdue_date.ipynb,,,tmp_gl_invoice_overdue_date_backup (vc_data_dwh.db),PARQUET
./dw_card/dwa_fe_card_status_tmp_daily.ipynb,fe_cref_tab (vc_cms.db),PARQUET,dwa_fe_card_status_tmp (vc_data_dwh.db),PARQUET
./dw_card/Untitled1.ipynb,dw_card_loan_payment_fct_bak (vc_data_dwh.db),PARQUET,dw_card_loan_payment_fct (vc_data_dwh.db),PARQUET
./dw_card/Untitled1.ipynb,rpt_dvml_merge_cost_center (vc_data_dwh.db),PARQUET,,
./dw_card/dw_account_balance_eod_fct.ipynb,,,dw_account_balance_eod_fct (vc_data_dwh.db),PARQUET
./dw_card/dwa_card_active_date_fct.ipynb,fe_curr_trans (vc_cms.db),PARQUET,,
./dw_card/dw_card_aging_period_fct.ipynb,bo_crd_aging (vc_cms.db),PARQUET,dw_card_aging_period_fct (vc_data_dwh.db),PARQUET
